REGISTERED NURSE 2,5303
STIPEND GRAD FELLOW - B,3586
STIPEND OTH TRAINEE,2876
LECTURER PART-TIME,2606
LIMITED TERM APPOINTMENT - PROF STAFF,2591
STIPEND GRAD FELLOW - A,2581
RESIDENT,2518
TEMPORARY STAFF - HELPER,2380
PROGRAM COORDINATOR,1856
EXTENSION LECTURER,1798
SENIOR FELLOW,1669
PROJECT APPOINTMENT - OVERTIME EXEMPT,1602
PROGRAM OPERATIONS SPECIALIST,1581
CUSTODIAN,1547
PROFESSOR,1406
SENIOR COMPUTER SPECIALIST,1262
FDA SEIU - PROJECT,1260
RESEARCH ASSOCIATE,1250
FELLOW,1189
RESEARCH STUDY ASSISTANT,1033
PATIENT SERVICES SPECIALIST 2,1028
PROGRAM ASSISTANT,1017
RESEARCH COORDINATOR,955
SENIOR FELLOW--TRAINEE,953
MANAGER OF PROGRAM OPERATIONS,890
ASSOCIATE PROFESSOR,883
TEACHING ASSOCIATE,829
ASSISTANT PROFESSOR,787
RESEARCH SCIENTIST/ENGINEER 2,786
ACTING INSTRUCTOR,774
ASST PROFESSOR WITHOUT TENURE,770
RESEARCH SCIENTIST/ENGINEER 3,764
HOSPITAL ASSISTANT,716
STIPEND GRAD TRAINEE - A,713
DIRECTOR,700
STIPEND GRAD TRAINEE - B,698
MEDICAL ASSISTANT,686
RESEARCH SCIENTIST/ENGINEER 1,677
STIPEND GRAD TRAINEE - C,672
FOOD SERVICE WORKER,662
ASSOC PROFESSOR WITHOUT TENURE,649
OFFICE ASSISTANT 3,603
PROFESSOR WITHOUT TENURE,594
STIPEND UNDERGRADUATE TRAINEE,577
FISCAL SPECIALIST 2,571
COUNSELING SERVICES COORDINATOR,569
RESEARCH SCIENTIST/ENGINEER 4,549
ACTING ASSISTANT PROFESSOR-TEMP,536
PROJECT APPOINTMENT - OVERTIME COVERED,489
PATIENT CARE TECHNICIAN,480
REGISTERED NURSE 3,476
PATIENT SERVICES SPECIALIST 1-TRAINEE,459
ADMINISTRATIVE COORDINATOR,425
FISCAL SPECIALIST 1,413
PUBLIC INFORMATION SPECIALIST,407
ADMINISTRATIVE SPECIALIST,394
STIPEND UGRD G & AID,372
TEMPORARY STAFF A,371
OFFICE ASSISTANT 1,370
CHIEF RESIDENT,365
PHARMACY TECHNICIAN 1,358
RESEARCH STUDY COORDINATOR 1,356
RESEARCH TECHNOLOGIST 1,343
RESEARCH CONSULTANT,329
LABORATORY TECHNICIAN 1,323
CONTACT CENTER REPRESENTATIVE 1,323
VISITING SCIENTIST,320
ASSISTANT DIRECTOR,315
MEDICAL LABORATORY SCIENTIST 1,310
AFFILIATE INSTRUCTOR,307
CLINICAL TECHNOLOGIST 1,301
STIPEND UNDERGRADUATE FELLOW,299
FOOD SERVICE WORKER LEAD,292
LECTURER FULL-TIME-COMPETITIVE RECRUIT,291
SOFTWARE ENGINEER,287
LECTURER FULL-TIME,283
RESEARCH SCIENTIST/ENGINEER-SENIOR,282
PROFESSOR EMERITUS,280
ANALYST,278
BUDGET/FISCAL ANALYST,276
SENIOR LECTURER-FULL TIME,273
RESEARCH SCIENTIST/ENGINEER - ASSISTANT,272
FELLOW ACGME,272
COMPLIANCE ANALYST,272
CONTINUING EDUCATION COORDINATOR,271
CLINICAL ASSISTANT PROFESSOR-SALARIED,260
OFFICE ASSISTANT 2,259
PATIENT SERVICES REP,252
RESEARCH AIDE 1,249
ADMINISTRATIVE ASSISTANT A,247
RESPIRATORY CARE PRACTITIONER,246
PATIENT CARE COORDINATOR,241
ADMINISTRATOR,232
PATIENT SERVICES REPRESENTATIVE,229
MANAGER,226
FDA WFSE - PROJECT,222
RESEARCH ASSISTANT PROFESSOR,221
PHARMACIST 3,220
ASSOCIATE DIRECTOR,219
RESEARCH STUDY COORDINATOR 2,214
FEE BASED ASSIGNMENT - PROF STAFF,214
UTEMP STAFF,210
PATIENT FINANCIAL SERVICES SPECIALIST 2,208
PHLEBOTOMIST,203
LABORATORY HELPER,203
CLINICAL LABORATORY TECHNICIAN 1,201
AFFILIATE ASSISTANT PROFESSOR,194
WEB COMPUTING SPECIALIST,190
RESEARCH ASSOCIATE PROFESSOR,188
IMAGING TECHNOLOGIST,187
CLINICAL INSTRUCTOR-SALARIED,184
DEVELOPMENT SERVICES OFFICER,183
STOCKROOM ATTENDANT 2,179
HEALTH PROGRAM OPERATIONS SPECIALIST,168
SECRETARY SENIOR,168
CLINICAL ASSOCIATE PROFESSOR-SALARIED,168
HEALTH INFORMATION TECHNICIAN 2,162
HEALTH SERVICES MANAGER,158
CLINICAL INSTRUCTOR,157
ASSISTANT TO THE DIRECTOR,157
COOK,156
CHAIR,156
ACADEMIC SERVICES-ASSISTANT DIRECTOR,154
DIETARY UNIT CLERK,153
HEALTH CARE SPECIALIST,152
CLINICAL ASSISTANT PROFESSOR,144
AFFILIATE PROFESSOR,142
CAMPUS SECURITY OFFICER,141
RESEARCH SCIENTIST/ENGINEER PRINCIPAL,141
PROGRAM OPERATIONS ANALYST,139
PHARMACIST 2,135
BUDGET/FISCAL ANALYST LEAD,135
COMPUTER SUPPORT ANALYST 2,134
POST BACCALAUREATE APPOINTMENT,132
CONTINUING EDUCATION SPECIALIST 3,130
ANIMAL TECHNICIAN 1,130
HEALTH CARE SPECIALIST-INPAT-EMERG,127
ADMINISTRATOR-PROGRAM OPERATIONS,125
HEALTH PROFESSIONAL PRACTITIONER,123
SURGICAL TECHNOLOGIST,122
ACADEMIC SERVICES-DIRECTOR,122
RESEARCH TECHNOLOGIST 2,121
MAJOR GIFT OFFICER - DEVL,120
TECHNOLOGY PROJECT MANAGER,120
EXTENSION LECTURER-PART TIME,120
SOCIAL WORKER,119
SENIOR APPLICATIONS SYSTEM ENGINEER,118
PATIENT SERVICES SPECIALIST 3,118
HUMAN RESOURCES DEPT MGR/ADMIN,116
PROGRAM SUPPORT SUPERVISOR I,115
FDA SEIU - LEAVE OF ABSENCE,113
PHYSICAL THERAPIST 3,113
MANAGER-DEPARTMENTAL COMPUTING,112
DEVELOPMENT OFFICER,110
DENTAL ASSISTANT 2,110
PROGRAM SUPPORT SUPERVISOR II,109
ASSISTANT TO THE CHAIR,108
LAUNDRY OPERATOR 1,107
SYSTEMS PROGRAMMER,105
SOCIAL WORKER 1,105
CLINICAL PROFESSOR-SALARIED,105
RESEARCH PROFESSOR,104
CLINICAL LABORATORY TECHNICIAN 2,103
SENIOR LECTURER-PART TIME,103
ASSOCIATE LIBRARIAN,101
IMAGING TECHNOLOGIST-COMP TOMO,101
ASSOCIATE DEAN,100
HOSPITAL CENTRAL SERVICES TECHNICIAN 2,100
CHIEF RESIDENT NON-ACGME,100
PHYSICAL THERAPIST 2,99
STIPEND - VISIT INTERN,99
ADMINISTRATIVE ASSISTANT B,98
CONTINUING EDUCATION SPECIALIST 4,98
EDUCATOR 1,97
SOCIAL WORKER 2,97
AFFILIATE ASSOCIATE PROFESSOR,97
PROGRAM FINANCIAL ANALYST,97
ANIMAL TECHNICIAN 3,97
RESEARCH ANALYST 1,96
MEDICAL LABORATORY SCIENTIST 2,96
NURSE MANAGER,95
TECHNOLOGY MANAGER,95
ACADEMIC COUNSELOR - SENIOR,93
LIBRARY TECHNICIAN III,92
WEB INFORMATION SPECIALIST,92
DIETARY UNIT AIDE,91
PATIENT SERVICES SPECIALIST SUPV,91
MENTAL HEALTH SPECIALIST 2,91
SNACK BAR LEAD,89
HOSPITAL CENTRAL SERVICES TECHNICIAN 1,88
REGISTERED NURSE 2 - RESEARCH,88
MENTAL HEALTH PRACTITIONER,88
PARKING SPECIALIST,87
PATIENT REPRESENTATIVE,86
FINANCIAL ACCESS SPECIALIST 2,86
LABORATORY TECHNICIAN 2,85
VISITING LECTURER,85
PHYSICIAN ASST-ADV REG NURSE PRACT,85
TEMP PAY INCREASE-OVERTIME COVERED,85
PHARMACY TECHNICIAN 2,84
ASSISTANT COACH,83
CLINICAL TECHNOLOGIST 2,83
COMPUTER SUPPORT ANALYST 1,82
FISCAL TECHNICIAN 3,82
OCCUPATIONAL THERAPIST 2,80
ACADEMIC COUNSELOR,80
RESEARCH AIDE 2,79
RESEARCH SCIENTIST/ENGINEER-SR PRINCIPAL,79
PSYCHOLOGY INTERN,79
MEDICAL INTERPRETER 1,78
HRP PROJECT APPOINTMENT,78
GARDENER 2,78
GRAPHIC DESIGNER,76
PHYS ASST-ADV RN PRACTITIONER,76
CLINICAL NURSE EDUCATOR,76
BUSINESS SYSTEMS ANALYST,76
DIETITIAN 2,76
RESEARCH TECHNOLOGIST 3,75
ANESTHESIOLOGY TECHNICIAN 2,75
SOC WORKER 1 - ACADEMIC MEDICAL CENTERS,75
ELECTRICIAN,74
TELEPHONE COMMUNICATIONS OPERATOR-HOSP,73
CONTINUING EDUCATION SPECIALIST 2,73
COUNSELOR,73
CAMPUS POLICE OFFICER,73
EXTENSION LECTURER-FULL TIME,72
FINANCIAL SERVICES SPECIALIST 2,71
CREDENTIALS EVALUATOR 1,70
MEDICAL LABORATORY SCIENTIST LEAD,70
STAGE TECHNICIAN 2,69
COMPUTER SUPPORT TECHNICIAN 2,68
DENTAL ASSISTANT 1,68
CONSTRUCTION PROJECT MANAGER,67
SOC WORKER 2 - ACADEMIC MEDICAL CENTERS,67
FACILITIES OPERATIONS MAINTENANCE SPEC,67
MAINTENANCE MECHANIC 2,67
PHARMACIST 4,67
CASHIER 1,64
CLINICAL DATA SPECIALIST-CODER/UTIL MGMT,63
OCCUPATIONAL THERAPIST 1,63
FOOD SERVICE PORTER,62
MEDICAL TRANSCRIPTIONIST 2,62
FDA WFSE - LEAVE OF ABSENCE,61
ACADEMIC SERVICES-ASSOCIATE DIRECTOR,61
PATIENT SERVICES SPECIALIST LEAD,60
ACTING ASSISTANT PROFESSOR,60
MAINTENANCE MECHANIC 1,60
RESEARCH ANALYST 3,59
UNIT SUPPLY TECHNICIAN 1,59
SOCIAL WORKER 1-ACADEMIC MEDICAL CENTERS,59
TRUCK DRIVER 2,59
CLINICAL TECHNOLOGIST LEAD,58
HUMAN RESOURCES SPECIALIST,57
CONTROL TECHNICIAN,56
VISITING PROFESSOR,56
UTILITY WORKER 1,56
INSTRUCTION & CLASSROOM SUPPORT TECH 1,56
IMAGING TECHNOLOGIST-ANGIOGRAPHY,55
DIRECTOR-PROGRAM OPERATIONS,55
COMPUTER SUPPORT TECHNICIAN 1,55
IMAGING TECHNOLOGIST-MAG RES IMAGING,55
HUMAN RESOURCE COORDINATOR,55
SPEECH PATHOLOGIST/AUDIOLOGIST SPEC 1,55
NETWORK SPECIALIST,55
DRIVER-WAREHOUSE WORKER,55
CONFERENCE COORDINATOR 2,54
CARPENTER,54
CUSTODIAN LEAD,54
EDUCATOR 2,54
PRESERVATION & MUSEUM SPECIALIST 1,54
LLM LECTURER,54
PROJECT APPOINTMENT - O/T EXEMPT 11-14,53
LIBRARY SPECIALIST I,53
PRODUCER-RADIO,52
UWRP RETIREE - NON-EXEMPT WORK,52
NETWORK ENGINEER,52
WAREHOUSE WORKER 1,52
COUNSELING-RESIDENT DIRECTOR,52
CLINICAL ASSOCIATE PROFESSOR,51
ASSISTANT DIRECTOR-PROGRAM OPERATIONS,51
TRUCK DRIVER 1,51
WASHROOM EQUIPMENT OPERATOR 1,51
PSYCHOLOGY INTERN-STIPEND,51
ASSISTANT LIBRARIAN,51
ANIMAL TECHNICIAN 2,51
INSTRUCTIONAL TECHNICIAN 2,51
IMAGING TECHNOLOGIST TRAINEE,51
SENIOR FELLOW ACGME,51
ARTIST IN RESIDENCE,50
FACULTY FOGARTY FELLOW--STIPEND,50
CLINICAL LABORATORY TECHNICIAN 1-HMC,50
ASSISTANT DEAN,49
PAINTER,49
PLUMBER/PIPE/STEAMFITTER,49
SENIOR ASSISTANT LIBRARIAN,49
"COUNSELOR, SENIOR",48
PRINCIPAL LECTURER,48
ASSISTANT TO THE DEAN,48
SCIENTIFIC INSTRUCTIONAL TECHNICIAN 1,47
TRAFFIC GUIDE,47
DEVELOPMENT DIRECTOR - SENIOR,46
LIBRARIAN,46
STUDY SKILLS INSTRUCTOR,45
SECRETARY,45
ADMISSIONS SPECIALIST,45
TEMPORARY STAFF C,45
COMPUTER OPERATOR 1,45
SOCIAL WORKER 2-ACADEMIC MEDICAL CENTERS,45
MAINTENANCE CUSTODIAN 1,44
CUSTODIAN SUPERVISOR 2,44
TEMPORARY STAFF B,43
MENTAL HEALTH SPECIALIST 1,43
RESEARCH ASSOCIATE--TRAINEE,43
TEMPORARY STAFF E,42
HEALTH INFORMATION TECHNICIAN 3,42
FISCAL SPECIALIST SUPV,42
DIRECTOR-DEPARTMENTAL COMPUTING,42
RESEARCH ANALYST 2,42
ASSISTANT VICE PRESIDENT/PROVOST,41
DEVELOPMENT/FUND RAISING EVENTS COORD,40
HUMAN RESOURCES CONSULTANT,40
CLINICAL LABORATORY TECHNICIAN LEAD,40
BUILDING SERVICES COORDINATOR,40
COMPUTER SERVICES CONSULTANT 1,39
SPECIMEN PROCESSING TECHNICIAN,39
IMAGING TECHNOLOGIST-LEAD,38
ACTING CHAIR,38
ASSOCIATE VICE PRESIDENT,38
ACADEMIC COUNSELOR - LEAD,38
FISCAL TECHNICIAN 2,37
MESSENGER DRIVER,37
GRANTS AND CONTRACTS MANAGER/SPECIALIST,37
VISITING ASSOCIATE PROFESSOR,37
CLINICAL DATA SPECIALIST - CODER,37
ADMINISTRATIVE ASSISTANT TO PRES/VP,37
MAINTENANCE MECHANIC LEAD,36
ACCOUNTANT 2,36
OPHTHALMIC TECHNICIAN 2,36
MAINTENANCE SUPERVISOR 2,36
"COUNSELOR, LEAD",36
ASSOCIATE PROFESSOR EMERITUS,36
COOK LEAD,35
RESEARCH MANAGER,35
MEDICAL LABORATORY SCIENTIST-TRAINEE,35
BUDGET/FISCAL UNIT SUPERVISOR,35
MAJOR GIFT OFFICER ASSOCIATE-DEVELOPMENT,35
APL-ENGINEER 4,34
VASCULAR SONOGRAPHER,34
HUMAN RESOURCE CONSULTANT ASSISTANT 2,34
SCIENTIFIC INSTRUCTIONAL TECHNICIAN 2,34
REGISTERED NURSE 1 - RESEARCH,34
BIOMEDICAL ELECTRONICS TECHNICIAN 2,34
LIBRARY TECHNICIAN II,34
SOCIAL WORK ASSISTANT 2,33
SECURITY GUARD,33
PRESERVATION & MUSEUM SPECIALIST 3,32
DATA CONTROL TECHNICIAN 3,32
STOCKROOM ATTENDANT 1,32
CONTACT CENTER REPRESENTATIVE 2,32
LICENSING SPECIALIST,32
HEALTH INFORMATION TECHNICIAN 1,32
BIOMEDICAL ELECTRONICS TECHNICIAN 1,32
APL-SENIOR ENGINEER,32
LIBRARY TECHNICIAN LEAD,31
SPEECH PATHOLOGIST/AUDIOLOGIST SPEC 2,31
CARDIAC MONITOR TECHNICIAN,31
VISITING ASSISTANT PROFESSOR,31
BIOMEDICAL ELECTRONICS TECHNICIAN 3,31
MEDICAL ASSISTANT LEAD,30
ANATOMIC PATHOLOGY TECHNOLOGIST,30
DIRECTOR/CHAIR,30
FISH HATCHERY TECHNICIAN,30
PATIENT CARE COORDINATOR SUPV,30
HOSPITAL-ASSISTANT ADMINISTRATOR,29
PSYCHOLOGIST,29
FISCAL TECHNICIAN 1,29
ELECTRONEURODIAGNOSTIC TECHNOLOGIST 3,29
SENIOR FELLOW--STIPEND,29
RESPIRATORY CARE LEAD,29
ASSISTANT TO THE VICE PRESIDENT,29
COMPUTER SUPPORT SPECIALIST 1,28
GARDENER LEAD,28
DEVELOPMENT DIRECTOR,28
HUMAN SUBJECTS REVIEW COORDINATOR,28
INTERNATIONAL CONTINUING ED - OT EX,28
CONTINUING EDUCATION SPECIALIST 5,27
CLINICAL PROFESSOR,27
FACILITIES PROJECT ENGINEER/ARCHITECT,27
DIAGNOSTIC MEDICAL SONOGRAPHER SPEC,27
EDITOR,27
ANATOMIC PATHOLOGY TECHNICIAN,27
UTILITY WORKER 2,27
AUDITOR,27
MAIL CARRIER-DRIVER B,27
"OILER,MARINE",26
RESPIRATORY CARE ASSISTANT,26
TRAINER,26
DEVELOPMENT SERVICES DIRECTOR,26
COMPUTER SUPPORT TECHNICIAN 3,26
INFORMATION SPECIALIST 1,25
VETERINARY SPECIALIST 3,25
FOOD SERVICE SUPERVISOR 2,25
DEAN,25
COUNSELOR-SENIOR,25
RESEARCH STUDY COORDINATOR LEAD,25
MARINER 2,25
ASSISTANT COACH-FOOTBALL,25
COUNSELOR; SENIOR,24
CASHIER 2,24
MASON/PLASTERER,24
VISITING FELLOW--STIPEND,24
OFFICE SUPPORT SUPERVISOR 1,24
VASCULAR TECHNOLOGIST,24
RESIDENT NON-ACGME,24
DIRECTOR - ICA OPERATIONS,24
REFRIGERATION MECHANIC,23
PATIENT FINANCIAL SERVICES SUPERVISOR,23
CARDIAC SONOGRAPHER 2,23
ASSOCIATE PROFESSOR TENURE TRACK,23
COUNSELOR; LEAD,23
ELECTROCARDIOGRAPH TECHNICIAN 2,23
GRAPHIC DESIGNER/ILLUSTRATOR,23
VISITING INT'L  PROFESSIONAL SCHOLAR,23
MACHINERY MECHANIC,23
POLICE DISPATCHER,23
PATIENT SERVICES SUPERVISOR,22
TV/VIDEO EQUIPMENT OPERATOR 1,22
RESEARCH PROFESSOR EMERITUS,22
SOM DIRECTOR - CLINICAL DEPARTMENT,22
ACADEMIC COUNSELOR LEAD - UAA,22
INSTRUMENT MAKER 3,22
CUSTODIAN SUPERVISOR 1,22
ANALYST-POLICY DEVELOPMENT,22
PUBLICATIONS COORDINATOR,22
LECTURER P-T COMP RECRUITMENT,22
MARINE TECHNOLOGIST 2,21
ASSOCIATE CHAIR,21
ADVANCED CARDIAC TECHNOLOGIST,21
MODEL - ART,21
MAIL RATER,21
RETIREE (ACADEMIC),21
POLYSOMNOGRAPHIC TECHNICIAN 2,21
HEALTH INFORMATION LEAD,21
SHEET METAL MECHANIC,20
CONTACT CENTER SUPERVISOR,20
INFORMATION SPECIALIST 2,20
LIBRARY SUPERVISOR I,20
COACH,20
GENETICS COUNSELOR 2,20
OFFICER,19
ENGINEERING TECHNICIAN 1,19
EDUCATOR 3 (12 MONTH),19
HOSPITAL DENTISTRY ASSISTANT SPECIALIST,19
BUDGET/FISCAL OPERATIONS SUPERVISOR,19
EDUCATOR 3,19
DENTAL HYGIENIST,19
PHYSICAL THERAPIST SPECIALIST,19
WEB GRAPHICS SPECIALIST,18
ELECTRICIAN LEAD,18
SYSTEMS ANALYST/PROGRAMMER 2,18
HUMAN RESOURCE ASSISTANT SENIOR,18
BROADCAST TECHNICIAN 1,18
ELECTRONEURODIAGNOSTIC TECHNOLOGIST 2,18
PUBLIC INFORMATION EDITOR,18
GRANT & CONTRACT COORDINATOR,18
CAMPUS SECURITY SERGEANT,18
HUMAN RESOURCES EMPLOYMENT SPECIALIST,18
SOC WORKER SUPV - ACADEMIC MEDICAL CTRS,18
CARDIAC TECHNOLOGIST,18
ASSOCIATE DIRECTOR-PROGRAM OPERATIONS,18
SPECIMEN PROCESSING SUPERVISOR,17
COMPUTER MAINTENANCE TECHNICIAN 3,17
BUYER 3,17
HUMAN RESOURCE ASSISTANT,17
ASSOCIATE VICE PROVOST,17
OFFICE ASSISTANT LEAD,17
MENTAL HEALTH PRACT CLINICAL SPECIALIST,17
RESEARCH TECHNOLOGIST SUPERVISOR,17
APL-PRINCIPAL OCEANOGRAPHER,17
COMPLIANCE ANALYST MANAGER,17
APL-FIELD ENGINEER,17
CONTINUING EDUCATION SPECIALIST 1,17
SOCIAL WORKER SUPV-ACADEMIC MEDICAL CTRS,17
CAMPUS POLICE LIEUTENANT,17
RETAIL CLERK 2,17
MOTOR EQUIPMENT SERVICE ATTENDANT,17
SYSTEMS ANALYST/PROGRAMMER 3,17
ENVIRONMENTAL OUTREACH SPECIALIST,17
EDITOR-RESEARCH PUBLICATIONS 3,17
APL-ENGINEER 3,17
STAFF ASSISTANT,17
WINDOW WASHER,17
PRODUCER RADIO - EXECUTIVE,17
"ACCOUNTANT, SENIOR",17
HUMAN RESOURCE CONSULTANT ASSISTANT 1,17
LIBRARY SPECIALIST II,17
HOSPITAL CENTRAL SERVICES TECHNICIAN LD,16
PSYCHOMETRIST 2,16
ASSISTANT DEAN FOR DEVELOPMENT,16
RECREATION COORDINATOR 2,16
FOOD SERVICE SUPERVISOR 2-HMC,16
PHARMACY TECHNICIAN LEAD,16
TECHNICAL SECRETARY,16
HOSPITAL-ASSOCIATE ADMINISTRATOR,16
RECORDS ANALYST 2,16
MENTAL HEALTH THERAPIST,16
RADIATION THERAPY SPECIALIST,16
REPRESENTATIVE/INVESTIGATOR,16
CLINICAL DATA SPECIALIST LEAD,16
PROGRAM FINANCIAL MANAGER,16
MENTAL HEALTH PRACTITIONER CLINICAL SPEC,16
PRESERVATION & MUSEUM SPECIALIST 2,16
DIALYSIS/PHERESIS TECHNICIAN,16
ACTING ASSOCIATE PROFESSOR,15
PRESERVATION & MUSEUM SPECIALIST 4,15
DIAGNOSTIC MEDICAL SONOGRAPHER,15
PHARMACY ASSISTANT,15
MEDICAL INTERPRETR CSEWRKR-CULTRL MEDIAT,15
ACTING PROFESSOR,15
VICE PROVOST,15
SR COMPUTER SPECIALIST-OT COVERED,15
ENVIRONMENTAL HEALTH & SAFETY TECH,15
SYSTEMS ANALYST/PROGRAMMER 1,15
ASSISTANT COACH-BASKETBALL,15
APL-PRINCIPAL ENGINEER,15
OT COVERED/SALARY BASIS,15
TV/VIDEO EQUIPMENT OPERATOR 2,15
CONTROL TECHNICIAN LEAD,15
LIBRARIAN--RETIRED,14
MEDICAL AIR LIFT COMMUNICATIONS SPEC,14
HISTOLOGIC TECHNICIAN 1,14
REGISTERED NURSE SUPV-RESEARCH,14
ASSISTANT TO THE VICE PROVOST,14
MESS ATTENDANT,14
CLINICAL ASSOC PROF-DENTAL PATHWAY,14
BROADCAST TECHNICIAN 2,14
RESEARCH STUDY SUPERVISOR,14
APL-FIELD ENGINEER 2,14
OPHTHALMIC SPECIALIST,14
IMAGING TECHNOLOGIST-SUPERVISOR,14
VETERINARY SPECIALIST 1,14
CONFERENCE COORDINATOR 1,14
WAREHOUSE WORKER 2,14
ORTHOTICS-PROSTHETICS PRACTITIONER,14
PHYSICAL THERAPY ASSISTANT 2,14
LIGHTING AND FILTER MAINTENANCE TECH,14
VICE PRESIDENT,14
HUMAN RESOURCES RECRUITER,14
OCCUPATIONAL THERAPIST 3,14
PHLEBOTOMIST LEAD,14
HEALTH SERVICES-ASSISTANT DIRECTOR,14
HOSPITAL CENTRAL SERVICES - SUPERVISOR,14
"MATE,THIRD",13
BIOMEDICAL ELECTRONICS TECHNICIAN LEAD,13
PROFESSOR--RETIRED,13
"MATE,CHIEF",13
SENIOR LECTURER EMERITUS,13
ORTHOPAEDIC TECHNICIAN II,13
COUNSELOR-STUDENT SERVICES,13
SECRETARY LEAD,13
HEALTH CARE SPECIALIST LEAD,13
ELECTRONEURODIAGNOSTIC TECHNOLOGIST 1,13
EDITOR-RESEARCH PUBLICATIONS 1,13
ADMINISTRATIVE ASSISTANT A-SUPV,13
APL-OCEANOGRAPHER 4,13
POWER PLANT OPERATING ENGINEER 1,13
LAUNDRY OPERATOR 2,13
INTERNATIONAL PROGRAM OPERATIONS - OT EX,13
MEDIA TECHNICIAN,12
DIETETIC TECHNICIAN,12
MENTAL HEALTH PRACTITIONER LEAD,12
INFORMATION TECHNOLOGY SPECIALIST 3,12
TELECOMMUNICATIONS ANALYST 2,12
SENIOR ARTIST IN RESIDENCE,12
INTERNATIONAL CONTINUING ED - OTX 11-14,12
CLINICAL LABORATORY TECHNICIAN LEAD-HMC,12
CARPET CLEANER,12
COMPUTER SUPPORT SPECIALIST 2,12
DATA ENTRY OPERATOR 3,12
MARINER 1,12
CLINICAL ASSIST PROF-DENT PATH,12
COUNSELOR-INTERN,12
ALCOHOLISM THERAPIST 1,12
ASSOCIATE TREASURER,12
HUMAN RESOURCES COMPENSATION CONSULTANT,12
PROFESSIONAL STAFF - CONTRACT P3,12
ASSOCIATE PROFESSOR--RETIRED,12
REHABILITATION COUNSELOR 2,12
