Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"JOHNSON, RONALD",NA,NA,NA,NA,NA
"GE, WEILI",7433,13,11,14,12
"SIEGEL, STEPHAN",1850,15,14,19,18
"JAIN, APURVA",NA,NA,NA,NA,NA
"KOSKI, JENNIFER",NA,NA,NA,NA,NA
"DEMERJIAN, PETER",1010,10,10,10,10
"GILBERT, THOMAS",408,7,7,7,7
"CURTIS, ASHER",242,9,8,9,8
"SCHULZ, FLORIAN",117,3,3,2,2
"BROGAARD, JONATHAN",2525,13,13,13,13
"MAMANI, HAMED",NA,NA,NA,NA,NA
"WESTERFIELD, MARK",940,9,9,9,8
"DUCHIN, RAN",3206,15,15,18,17
"WAGNER, MICHAEL",532,11,10,15,11
"YOGANARASIMHAN, HEMA",342,7,7,7,7
"PATRICK, PAIGE",NA,NA,NA,NA,NA
"QUINN, PHILLIP",NA,NA,NA,NA,NA
"PATEL, SHWETAK",7009,43,34,104,98
"BLACKBURNE, TERRENCE",NA,NA,NA,NA,NA
"SHAIKH, SARAH",NA,NA,NA,NA,NA
"SIRMON, DAVID",11342,24,24,24,24
"TRIPATHY, ARINDAM",562,10,10,10,10
"RUTZ, OLIVER",916,10,10,11,10
"UMPHRESS, ELIZABETH",NA,NA,NA,NA,NA
"HALLEN, BENJAMIN",944,9,9,9,8
"IRAVANI, FOAD",121,4,4,3,3
"PAHNKE, EMILY",NA,NA,NA,NA,NA
"ZHANG, XIA",NA,NA,NA,NA,NA
"BORAH, ABHISHEK",84,4,4,3,3
"SEMINARIO, ANA",NA,NA,NA,NA,NA
"BIGLEY, GREGORY",NA,NA,NA,NA,NA
"BARNES, CHRISTOPHER",2345,26,26,32,32
"HRDLICKA, CHRISTOPHER",108,4,4,4,3
"SAYEDI ROSH KHAR, SEYED",NA,NA,NA,NA,NA
"TAN, DAVID",570,6,6,4,4
"SHUNKO, MARIA",NA,NA,NA,NA,NA
"ROBERTS, FRANK",NA,NA,NA,NA,NA
"ACIKMESE, BEHCET",NA,NA,NA,NA,NA
"ZHANG, CRYSTAL",NA,NA,NA,NA,NA
"SHULMAN, JEFFREY",444,8,8,8,8
"DUNN, LEA",126,3,3,2,2
"HILLIER, MARK",NA,NA,NA,NA,NA
"DEWENTER, KATHRYN",2770,13,8,13,8
"DEMIRKAN, HALUK",3906,23,19,49,35
"GUPTA, ABHINAV",136,5,5,4,4
"POSNER, JONATHAN",3164,29,25,56,46
"PURDY, JILL",1153,11,10,15,10
"CHEN, SHI",2744,26,25,28,28
"HWANG, HYEUNJUNG",NA,NA,NA,NA,NA
"FAN, MING",3549,23,17,27,22
"KNUDSEN, SANNE",NA,NA,NA,NA,NA
"YANG, JIHUI",8538,47,37,113,96
"WU, JIANQING",NA,NA,NA,NA,NA
"CEZE, LUIS",7136,39,32,80,70
"MCCORMACK, SHANNON",NA,NA,NA,NA,NA
"JOSEPH, GAIL",NA,NA,NA,NA,NA
"ZHOU, YONGPIN",1910,20,16,37,23
"BRYAN, DANIEL",NA,NA,NA,NA,NA
"HEER, JEFFREY",12841,53,46,97,83
"HOSSAIN, FAISAL",6758,30,23,75,62
"CHI, DONALD",778,16,16,30,28
"CALO, MICHAEL",NA,NA,NA,NA,NA
"SEOW, GIM",NA,NA,NA,NA,NA
"REYNOLDS, MATTHEW",4121,32,26,73,60
"DOOGAR, RAJIB",639,10,9,10,9
"FEHR, RYAN",1180,12,11,12,11
"SEELIG, GEORG",3389,19,16,24,21
"ZETTLEMOYER, LUKE",5251,37,31,67,59
"SAID, ZAHR",84,5,5,3,3
"SMITH, NOAH",13123,57,46,158,142
"GOODCHILD, ANNE",892,16,12,21,15
"SMITH, JOSHUA",9815,52,42,113,107
"DURAN, BONNIE",6564,33,26,59,44
"ZHANG, ZAOZAO",NA,NA,NA,NA,NA
"ANDERSON, CHRISTOPHER",NA,NA,NA,NA,NA
"FOX, EMILY",2060,23,22,34,33
"OZKAN-SEELY, GULRU",51,3,3,2,2
"BALAZINSKA, MAGDALENA",10964,48,40,92,81
"HONIG, MEREDITH",NA,NA,NA,NA,NA
"REYNOLDS, SCOTT",NA,NA,NA,NA,NA
"FOGARTY, JAMES",4676,37,30,67,61
"THORNOCK, JAKE",NA,NA,NA,NA,NA
"EVANS-CAMPBELL, TERESA",1649,16,13,17,16
"FRITZEN, SCOTT",NA,NA,NA,NA,NA
"AISENBERG, EUGENE",NA,NA,NA,NA,NA
"OH, HYUNG",NA,NA,NA,NA,NA
"XU, XIAODONG",12229,47,41,79,76
"DUVVURI, SRI",NA,NA,NA,NA,NA
"HARDIN, LORNA",NA,NA,NA,NA,NA
"RICE, EDWARD",NA,NA,NA,NA,NA
"WILLS, DOUGLAS",NA,NA,NA,NA,NA
"GHATE, ARCHIS",427,12,10,14,12
"CAO, ZHIYAN",NA,NA,NA,NA,NA
"LENG, FEI",NA,NA,NA,NA,NA
"DAVALOS, SERGIO",NA,NA,NA,NA,NA
"TOWNSEND, MICHAEL",NA,NA,NA,NA,NA
"WITTEN, DANIELA",9201,32,31,52,49
"KIOKO, SHARON",NA,NA,NA,NA,NA
"TRAPIDO, DENIS",NA,NA,NA,NA,NA
"AROLA, DWAYNE",5666,42,35,115,94
"OSKIN, MARK",3427,28,22,52,34
"PATHAK, SURYA",794,10,7,11,6
"MERCHANT, ALTAF",557,13,12,15,15
"DEUTSCH, CURTIS",NA,NA,NA,NA,NA
"COLE, ALLISON",193,7,7,4,4
"WOBBROCK, JACOB",9921,51,43,113,99
"AVILA, SOPHIE",NA,NA,NA,NA,NA
"ERDLY, WILLIAM",NA,NA,NA,NA,NA
"LOWE, CELIA",NA,NA,NA,NA,NA
"HILL, HEATHER",461,14,11,18,12
"JOSEPH, RALINA",NA,NA,NA,NA,NA
"DE CASTRO, ARNOLD",NA,NA,NA,NA,NA
"MASTRANGELO, CHRISTINA",NA,NA,NA,NA,NA
"SHEA-BROWN, ERIC",4072,27,22,47,41
"JINDAL, RUPINDER",229,4,4,4,4
"CHEN, YU-CHIN",NA,NA,NA,NA,NA
"LORIG, MATTHEW",299,10,10,10,10
"MUENCH, STEPHEN",782,14,11,21,12
"MOHAMMED, SELINA",NA,NA,NA,NA,NA
"NORMAN, STEPHEN",43,3,3,1,1
"TORLAK, EMINA",1604,16,14,25,22
"GOLLAKOTA, SHYAMNATH",NA,NA,NA,NA,NA
"PFAENDTNER, WALTER",NA,NA,NA,NA,NA
"BORENSTEIN, ELHANAN",4857,29,26,45,42
"KENNEDY, DEANNA",419,12,12,15,15
"NAM, HYORYUNG",61,2,2,1,1
"BEKEMEIER, ELIZABETH",NA,NA,NA,NA,NA
"FARHADI, ALI",6018,30,28,50,48
"THOMAS, WENDY",3187,28,21,43,39
"SNIADECKI, NATHAN",3254,23,22,28,26
"KAKADE, SHAM",9938,51,42,92,83
"GAO, XIAOHU",19987,47,39,80,73
"MURRAY, SCOTT",3169,28,24,35,35
"BIERER, JULIE",NA,NA,NA,NA,NA
"KRISHNAMURTHY, ARVIND",NA,NA,NA,NA,NA
"MERRIKH, HOURA",552,11,11,12,12
"RICE, KENNETH",18439,61,53,141,125
"RIFFELL, JEFFREY",2446,23,22,33,31
"GUESTRIN, CARLOS",20706,62,45,117,103
"KIRTLEY, ALAN",NA,NA,NA,NA,NA
"PARANJPE, AVINA",NA,NA,NA,NA,NA
"ZANG, DONGSHENG",NA,NA,NA,NA,NA
"BERGER, ARNOLD",NA,NA,NA,NA,NA
"LUCERO, JOSE",NA,NA,NA,NA,NA
"KOHNO, TADAYOSHI",12692,55,45,112,99
"KO, ANDREW",5036,33,27,65,52
"IMAIZUMI, TAKATO",4974,27,25,35,33
"TODOROV, EMANUIL",NA,NA,NA,NA,NA
"KOTSAKIS, GEORGIOS",812,13,13,16,16
"TATLOCK, ZACHARY",639,11,11,14,13
"OVEIS GHARAN, SHAYAN",1084,16,16,18,18
"MININ, VOLODYMYR",NA,NA,NA,NA,NA
"WANG, XI",1240,16,15,17,17
"FAZEL SARJOUI, MARYAM",NA,NA,NA,NA,NA
"QUEITSCH, CHRISTINE",3436,22,20,28,26
"ZHANG, BAOSEN",879,13,13,16,16
"DOGAN, SAMI",NA,NA,NA,NA,NA
"MILLER, JAMES",12784,63,19,204,53
"POZZO, LILO",1224,24,20,37,34
"KERR, KATHLEEN",NA,NA,NA,NA,NA
"LEE, SU-IN",3355,17,16,23,21
"ZHANG, HAI",NA,NA,NA,NA,NA
"BARSNESS, ZOE",NA,NA,NA,NA,NA
"ALISEDA, ALBERTO",860,12,11,17,14
"DURKEE, MELISSA",33,4,3,1,1
"THORNTON, TIMOTHY",1330,19,18,25,25
"EBERLY, MARION",1441,8,8,7,6
"REINECKE, KATHARINA",1057,17,15,20,18
"LEPE, XAVIER",NA,NA,NA,NA,NA
"HERRANZ, JOAQUIN",NA,NA,NA,NA,NA
"FOLCH, ALBERT",6737,39,28,66,55
"KIENTZ, JULIE",3918,29,24,58,52
"DOBRA, ADRIAN",2661,26,18,37,25
"HORNER-DEVINE, ALEXANDER",891,16,14,22,19
"FERRANTE, ANTONINO",972,12,9,12,9
"KANNAN, SREERAM",316,10,8,12,8
"MANHEIM, ELISABETH",NA,NA,NA,NA,NA
"WARTMAN, JOSEPH",1255,20,16,28,21
"CHOI, YEJIN",4650,28,27,44,43
"TENNIS, JOSEPH",NA,NA,NA,NA,NA
"DUNHAM, MAITREYA",5936,29,25,51,49
"TAO, JING",NA,NA,NA,NA,NA
"WOODY, ANDREA",NA,NA,NA,NA,NA
"SIMONEN, KATHRINA",49,4,4,1,1
"CAKMAK, MAYA",1975,22,20,35,32
"ROESNER, FRANZISKA",2597,15,15,19,18
"BOSS, ALAN",577,9,9,9,9
"ASUNCION, HAZELINE",NA,NA,NA,NA,NA
"FLAKE, NATASHA",NA,NA,NA,NA,NA
"BAI, YAN",NA,NA,NA,NA,NA
"GOMEZ, JUAN",NA,NA,NA,NA,NA
"BANG, MEGAN",NA,NA,NA,NA,NA
"CAROTHERS, JAMES",1735,14,13,16,14
"GOODREAU, STEVEN",4688,24,21,34,29
"DAVIS, JENNIFER",NA,NA,NA,NA,NA
"SUBRAMANIAN, VENKAT",2899,28,23,53,40
"ATHREYA, JAYADEV",369,11,8,13,8
"POLAGYE, BRIAN",1406,20,17,33,26
"NASCIMENTO, ANDERSON",1075,19,14,31,20
"LEE, HEDWIG",NA,NA,NA,NA,NA
"ZENG, YAO",60,5,5,2,2
"LEACHE, ADAM",3553,25,21,41,39
"RATNER, DANIEL",2734,29,23,44,39
"DAVIS, KATHARINE",NA,NA,NA,NA,NA
"MAX, LUDO",1362,18,13,24,17
"SAURO, HERBERT",9936,38,26,84,61
"FRIERSON, DARGAN",4639,39,33,59,55
"DORSEY, SHANNON",3035,32,25,49,43
"LUNDQUIST, JESSICA",2714,30,26,49,49
"TOLENTINO, MATTHEW",179,7,6,6,5
"CHEN, MIN",1962,17,15,28,25
"YANG, MUJEUNG",89,7,6,3,3
"WEST, JEVIN",1873,19,16,26,22
"FOUGHT, SHARON",NA,NA,NA,NA,NA
"BURDEN, SAMUEL",NA,NA,NA,NA,NA
"SUAREZ, DAVID",NA,NA,NA,NA,NA
"KLAVINS, ERIC",3544,33,18,51,28
"INGALLS, ANITRA",2866,26,22,35,33
"HOWARD, MAUREEN",NA,NA,NA,NA,NA
"MOORE, ADAM",967,17,13,18,14
"STETSON, DANIEL",5294,23,21,25,24
"SIMON, NOAH",NA,NA,NA,NA,NA
"LEE, ADRIAN",627,15,13,21,18
"ISTANBULLUOGLU, ERKAN",1529,24,21,31,30
"SIVADAS, EUGENE",4213,19,16,24,22
"GODFREY, EMILY",NA,NA,NA,NA,NA
"LAGESSE, BRENT",130,7,5,5,3
"OSANLOO, ARZOO",NA,NA,NA,NA,NA
"DEFOREST, COLE",2196,15,15,15,15
"BALASSONE, MARY",NA,NA,NA,NA,NA
"KIM, DEOK-HO",5971,39,34,86,74
"TAN, XU",336,6,5,3,3
"PASUPATHY, ANITHA",2749,15,13,16,15
"HEATH, RACHEL",322,5,5,4,4
"HUANG, SHUAI",560,10,10,10,10
"KEMELMAHER, IRENA",NA,NA,NA,NA,NA
"LIU, SHAN",401,6,6,6,6
"ROTHVOSS, THOMAS",1384,20,18,34,26
"MOSKAL, LUDMILA",NA,NA,NA,NA,NA
"BERMAN, JEFFREY",1446,18,16,35,28
"CHREPA, VARVARA",NA,NA,NA,NA,NA
"SOLOMON, EVAN",NA,NA,NA,NA,NA
"BEJAN, CAMELIA",111,6,4,2,2
"HAWKINS, RAYMOND",NA,NA,NA,NA,NA
"KESKIN, TAYFUN",NA,NA,NA,NA,NA
"SATHE, VISVESH",743,15,11,19,13
"FOWLER, DOUGLAS",3469,17,17,23,21
"MISSALL, KRISTEN",NA,NA,NA,NA,NA
"ZHANG, BO",2756,25,25,39,37
"KING, KEVIN",2778,26,24,40,40
"SHORES, DONNA",NA,NA,NA,NA,NA
"KEISTER, JULIE",NA,NA,NA,NA,NA
"BARRETO, PAULO",6742,30,22,55,42
"MAJUMDAR, ARKA",2271,25,23,43,42
"RABOTYAGOV, SERGEY",525,13,12,15,14
"SCHMIDT, DAVID",NA,NA,NA,NA,NA
"OLSON, KRISTINA",2821,27,26,41,39
"YANG, JINKYU",1313,19,18,31,28
"CARONE, MARCO",839,16,14,20,20
"KENNEY, NANCY",1151,16,6,21,3
"KOVALESKY, ANDREA",NA,NA,NA,NA,NA
"LEDERER, JOHANNES",NA,NA,NA,NA,NA
"HARRIS, ALEXES",NA,NA,NA,NA,NA
"LEUKHINA, OKSANA",210,7,7,5,5
"PRAT, CHANTEL",1338,19,17,22,19
"SPIRO, EMMA",560,14,14,15,15
"STEVENS, CHRISTINE",NA,NA,NA,NA,NA
"TRAPNELL, BRUCE",NA,NA,NA,NA,NA
"KUNZE, KENT",NA,NA,NA,NA,NA
"JONES, JANINE",822,9,8,8,7
"WEI, XIAHUA",NA,NA,NA,NA,NA
"HOSSEIN ABADI, SHIMA",NA,NA,NA,NA,NA
"SUESS, BECKY",NA,NA,NA,NA,NA
"GRANT, STEPHANIE",NA,NA,NA,NA,NA
"THAMILARASU, GEETHAPRIYA",273,9,8,8,5
"BLINOV, BORIS",NA,NA,NA,NA,NA
"HOLMBERG, VINCENT",867,15,14,16,15
"ROESLER, AXEL",NA,NA,NA,NA,NA
"STEELE, KATHERINE",783,13,13,14,14
"MEEK, CHRISTOPHER",NA,NA,NA,NA,NA
"HAZLET, THOMAS",NA,NA,NA,NA,NA
"BRUNTON, STEVEN",1820,22,22,36,35
"BUSTILLOS, DANIEL",NA,NA,NA,NA,NA
"KALIKOFF, BETH",NA,NA,NA,NA,NA
"THOMPSON, TRACY",1813,13,10,14,10
"NARANG, ANSHU",82,5,4,2,2
"MERZ, ALEXEY",NA,NA,NA,NA,NA
"YIP, JASON",418,12,11,14,13
"ARAGON, CECILIA",5678,30,27,50,41
"KRAMER, PATRICIA",NA,NA,NA,NA,NA
"ROSNER, DANIELA",1446,19,19,32,32
"DAHYA, NEGIN",70,4,4,3,3
"CHATTERJEE, JOYDEEP",NA,NA,NA,NA,NA
"BRECKWICH, VICTORIA",640,10,9,10,8
"FINN, MEGAN",NA,NA,NA,NA,NA
"ISOHERRANEN, NINA",3534,36,26,74,65
"ARMOUR, KYLE",913,16,16,17,17
"DEHAAN, EDUARD",NA,NA,NA,NA,NA
"NANCE, ELIZABETH",908,13,12,15,14
"BARRIA-ROMAN, ANDRES",NA,NA,NA,NA,NA
"COOKE, CHERYL",NA,NA,NA,NA,NA
"SANTANA MATA, SHARLENE",NA,NA,NA,NA,NA
"MAIBAUM, LUTZ",NA,NA,NA,NA,NA
"MAO, QINGCHENG",NA,NA,NA,NA,NA
"DUPUIS, MARC",65,3,3,1,1
"LOTT, JOE",NA,NA,NA,NA,NA
"WALSH, WALTER",NA,NA,NA,NA,NA
"ADLER, STUART",6370,22,18,37,25
"ANGOTTI, ROBIN",252,10,8,11,4
"COLLINS, PAUL",NA,NA,NA,NA,NA
"GAVIN, AMELIA",NA,NA,NA,NA,NA
"WANG, LIGUO",NA,NA,NA,NA,NA
"BRANCH, TREVOR",6267,36,32,70,59
"ROMICH, JENNIFER",920,15,9,18,9
"STUBER, JENNIFER",NA,NA,NA,NA,NA
"SALATHE, ERIC",4227,37,25,69,43
"VOGT, DANIEL",NA,NA,NA,NA,NA
"GAGNON, ALEXANDER",759,15,15,16,16
"HORWITZ, GREGORY",1617,18,15,24,19
"LI, YING",774,14,14,15,15
"SCHLENKER, CODY",2576,20,20,24,22
"WEBSTER, JOHN",NA,NA,NA,NA,NA
"YOON, WOON",749,16,12,24,16
"ARAVKIN, ALEKSANDR",1267,19,17,38,33
"MORRIS, ROBERT",2642,18,17,18,18
"ROLAND SAENGER, EMILY",NA,NA,NA,NA,NA
"SWANN, ABIGAIL",446,9,8,8,7
"FRYBERG, STEPHANIE",2552,22,20,26,25
"LUSCOMBE, CHRISTINE",4476,33,29,57,54
"GHIRMAI, TADESSE",NA,NA,NA,NA,NA
"HENDRY, DAVID",936,18,12,28,13
"ADOLPH, CHRISTOPHER",791,11,9,12,8
"GREENGROVE, CHERYL",NA,NA,NA,NA,NA
"GIRE, DAVID",581,9,9,9,9
"BOECHLER, NICHOLAS",NA,NA,NA,NA,NA
"YOUNG, DIANE",NA,NA,NA,NA,NA
"LAWLER, JOSHUA",7479,42,36,76,68
"TOTAH, RHEEM",NA,NA,NA,NA,NA
"SALK, JENNIFER",NA,NA,NA,NA,NA
"STONE, JOHN",NA,NA,NA,NA,NA
"KOT, MARK",6085,27,18,36,25
"SMITH, ANTONY",NA,NA,NA,NA,NA
"PAUZAUSKIE, PETER",5159,24,21,33,30
"TURNBLOM, ERIC",NA,NA,NA,NA,NA
"ROY CHOWDHURY, SOHINI",336,8,8,8,8
"BONUS, ENRIQUE",NA,NA,NA,NA,NA
"CHEN, YEN-WEI",NA,NA,NA,NA,NA
"ETTL, GREGORY",NA,NA,NA,NA,NA
"BRUNTON, BINGNI",816,11,11,13,12
"HULLMAN, JESSICA",548,11,11,11,11
"SNYDER, JAIME",170,7,6,5,4
"BURA, RENATA",3218,18,18,21,19
"ROBERTS, STEVEN",2036,25,20,44,36
"SMALLWOOD, STEPHANIE",NA,NA,NA,NA,NA
"STARBIRD, CATHARINE",NA,NA,NA,NA,NA
"MOTLEY, MICHAEL",563,13,11,18,14
"YEATMAN, JASON",3375,21,20,31,31
"NOVETZKE, CHRISTIAN",NA,NA,NA,NA,NA
"PAREDEZ, ALEXANDER",3263,12,12,12,12
"KIM, SOO-HYUNG",1846,23,17,33,29
"LEVESQUE, EMILY",NA,NA,NA,NA,NA
"PENG, YANG",463,9,8,9,7
"GRIGGS, JAMES",NA,NA,NA,NA,NA
"DILLON, BRIAN",164,5,5,3,3
"VILLEN, JUDIT",18594,44,39,60,58
"STEVENS, KELLY",1874,13,11,15,12
"MUNSON, SEAN",2114,24,23,39,35
"LEE, KELLY",NA,NA,NA,NA,NA
"COOK, JOSEPH",500,12,10,15,11
"PEPPER, MARION",3135,24,22,29,28
"SAVAN, RAM",NA,NA,NA,NA,NA
"FRANCETICH, ALEJANDRO",NA,NA,NA,NA,NA
"GIMBEL-SHERR, SARAH",NA,NA,NA,NA,NA
"BAN, XUEGANG",2969,23,21,49,41
"PIANKO, NOAM",110,6,5,2,2
"HAGUE, CHRIS",NA,NA,NA,NA,NA
"INOUE, ASAO",NA,NA,NA,NA,NA
"KOSACK, STEPHEN",NA,NA,NA,NA,NA
"GHOFRANI, MAHMOUD",774,13,13,15,15
"KOLODZIEJ, EDWARD",1150,14,14,16,15
"NELSON, ALSHAKIM",3109,30,25,52,43
"OBERST, ANDREW",NA,NA,NA,NA,NA
"TENG, FANGZHEN",3744,36,34,60,58
"CHAN, KWUN",874,14,14,18,18
"WOODWARD, JOSHUA",1922,20,17,25,25
"DENNISON, JEAN",NA,NA,NA,NA,NA
"LEE, JAMES",22788,42,29,803,195
"YOU, SETTHIVOINE",476,10,7,10,5
"ABDEL AZIZ, AHMED",571,7,7,7,3
"HSIEH, GARY",1637,18,16,26,21
"KAMINSKY, JESSICA",83,5,5,3,3
"MCQUINN, MATTHEW",NA,NA,NA,NA,NA
"DEVINE, EMILY",NA,NA,NA,NA,NA
"SAEED, SAMAH",NA,NA,NA,NA,NA
"GARCIA, MARIA",NA,NA,NA,NA,NA
"WALKER, AMY",NA,NA,NA,NA,NA
"MORALES, MIGUEL",5911,38,34,98,86
"CHATTERJEE, CHAMPAK",NA,NA,NA,NA,NA
"HOLTGRIEVE, GORDON",1165,18,17,21,21
"PAUN, DOROTHY",NA,NA,NA,NA,NA
"PRESLAND, RICHARD",4392,32,19,44,33
"VIRAY, BIANCA",NA,NA,NA,NA,NA
"MCCOY, KATRYNA",NA,NA,NA,NA,NA
"PAL, SOUMIK",598,14,13,18,17
"BAKKER, JONATHAN",3253,31,28,50,47
"CARLYLE, ALLYSON",392,10,5,11,1
"TARICANI, JOANN",NA,NA,NA,NA,NA
"STOLL, STEFAN",NA,NA,NA,NA,NA
"BEAUDOIN, KATHLEEN",NA,NA,NA,NA,NA
"BARRINGTON, WENDY",NA,NA,NA,NA,NA
"KOZUKI, YORIKO",NA,NA,NA,NA,NA
"DRUSVYATSKIY, DMITRIY",458,12,12,14,14
